,Food group,Group, Baseline,Value,CF,DALY
0,Bread_rye,1.0,64.3214138169407,107.1,0.0,0.0
1,Bread_wheat_coarse,1.0,34.3722328092571,41.6,0.0,0.0
2,Bread_wheat_fine,1.0,51.3582512086115,61.0,0.0,0.0
3,Breakfastcereals,1.0,6.40876221981927,6.8,0.0,0.0
4,Discretionary_foods,1.0,57.8180503622414,46.7,0.0,0.0
5,Flour_kernels,1.0,24.802455439947,32.2,0.0,0.0
6,Oats,1.0,14.5261640762295,18.0,0.0,0.0
7,Pasta,1.0,8.11542000546066,8.8,0.0,0.0
8,Rice,1.0,6.54718536425384,6.8,0.0,0.0
9,Cheese_fresh,2.0,6.52183371875592,6.3,0.0,0.0
10,Cheese_other,2.0,38.6973569484548,10.9,0.0,0.0
11,Dairy_fermented,2.0,30.6551698946953,30.4,0.0,0.0
12,Dairy_other,2.0,16.67,12.4,0.0,0.0
13,Milk_highfat,2.0,110.01,105.8,0.0,0.0
14,Milk_lowfat,2.0,162.81288340884,182.4,0.0,0.0
15,Fish_fatty,3.0,16.7881573230695,21.7,0.0,0.0
16,Fish_lean_highclimate,3.0,9.05882738179107,9.9,0.0,0.0
17,Fish_lean_lowmediumclimate,3.0,9.99451177443916,12.2,0.0,0.0
18,Fruit_berry,4.0,15.2527109490058,16.1,0.0,0.0
19,Fruit_citrus,4.0,19.3344139165275,20.3,0.0,0.0
20,Fruit_dried,4.0,3.20122273516868,3.3,0.0,0.0
21,Fruit_juice,4.0,59.2189094830217,60.8,0.0,0.0
22,Fruit_pome,4.0,66.9856413042249,83.3,0.0,0.0
23,Fruit_stone,4.0,15.219228949945,15.8,0.0,0.0
24,Fruit_tropical,4.0,63.6021325491428,73.3,0.0,0.0
25,Potatoes,,85.4825248197403,7.6,0.0,0.0
26,Veg_darkgreen,5.0,7.30254950863854,9.5,0.0,0.0
27,Veg_greenpeas,5.0,8.94152558223746,4.3,0.0,0.0
28,Veg_mushroom,5.0,4.18172658468809,62.6,0.0,0.0
29,Veg_other_coarse,5.0,55.937169704039,60.4,0.0,0.0
30,Veg_other_fine,5.0,55.6228442253019,40.1,0.0,0.0
31,Veg_redorange_coarse,5.0,35.6293156621765,63.2,0.0,0.0
32,Veg_redorange_fine,5.0,58.0208837176865,11.0,0.0,0.0
